"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Ortenaukreis, Landkreis",3.9,67.1,64.4,15,61.5,27.2,65
"Rottweil, Landkreis",0.7,28.8,28,5,14.9,8.6,17.2
"Schwarzwald-Baar-Kreis, Landkreis",1,38.9,37.9,5.5,25.5,16.2,33.1
"Tuttlingen, Landkreis",0.4,41.1,40.5,4.1,14.5,7.4,16.4
"Konstanz, Landkreis",2.1,27.3,25.7,6.8,40.6,20.1,47.4
"Lörrach, Landkreis",1.3,27.1,25.5,6.2,28.6,14,29.5
"Waldshut, Landkreis",1.1,19.5,18.4,5.7,20.6,8.1,22.1
"Reutlingen, Landkreis",1.2,44.5,42.9,9.1,34.4,21.2,43.3
"Tübingen, Landkreis",0.5,20.8,19.6,5,23.1,12.9,49.1
"Zollernalbkreis, Landkreis",0.8,31.5,30.7,6.1,22.2,9.7,21.4
"Ulm, Stadtkreis",0.3,20.6,19.5,3.3,34.1,24.4,38.6
"Alb-Donau-Kreis, Landkreis",2.3,25,24.3,6.2,17.2,7.1,18.8
"Biberach, Landkreis",2.7,42.5,40.4,6.9,19.6,10.3,24.9
"Bodenseekreis, Landkreis",3.5,40.2,39,6.1,26.8,13.5,31.2
"Ravensburg, Landkreis",4.5,38.8,37.8,9.3,37,20.3,49.6
"Sigmaringen, Landkreis",1.4,20.6,19.9,4.9,13.8,5.4,20.8
"Ingolstadt",0.3,50.8,49.6,3.1,21.7,19.6,27
"München, Landeshauptstadt",0.8,116.2,107.2,28.4,275.5,309.4,332.4
"Rosenheim",0.1,5.4,4.9,2.1,11.6,9,19.2
"Altötting, Landkreis",1.7,20.5,18.7,5.3,11.1,6.7,15.8
"Berchtesgadener Land, Landkreis",1.3,8,7.3,3.5,14.6,5.6,19.4
"Bad Tölz-Wolfratshausen, Landkreis",1.8,11.1,10.7,4.8,14.8,7.1,16.8
"Dachau, Landkreis",1.5,9.7,9.1,4.8,17,8.9,17
"Ebersberg, Landkreis",1.7,8.1,7.8,3.5,19.7,7.7,15
"Eichstätt, Landkreis",1.6,13.2,12.5,4.1,11.4,9.1,15.1
"Erding, Landkreis",2.6,7.7,6.6,4.6,20.1,7.8,16.8
"Freising, Landkreis",1.9,12.9,11.8,4.9,46.7,13.7,22.6
"Fürstenfeldbruck, Landkreis",0.8,9.9,9.1,6.8,23.4,11.4,23.2
"Garmisch-Partenkirchen, Landkreis",0.8,3.4,3,2.6,14.1,4.7,18
"Landsberg am Lech, Landkreis",1.6,10.6,10.2,3.7,13.8,6.4,17.1
"Miesbach, Landkreis",2.1,7.8,7.4,3.6,15.8,6,13.4
"Mühldorf a.Inn, Landkreis",2.4,14,13.4,4.6,12.4,5.4,15.3
"München, Landkreis",1,37.5,35.6,11.8,100.5,65.6,52.4
"Neuburg-Schrobenhausen, Landkreis",1.5,10.3,9.6,5.5,9.3,4.8,12.8
"Pfaffenhofen a.d.Ilm, Landkreis",1.9,12.1,11.3,4.3,14.6,5.6,13.9
"Rosenheim, Landkreis",4.1,24.7,23.7,9.1,31.4,13.5,35.4
"Starnberg, Landkreis",0.7,11.2,10.9,3.9,16.7,12.7,21.6
"Traunstein, Landkreis",3.5,24.9,24.1,7.4,23.3,9.2,25.1
"Weilheim-Schongau, Landkreis",2.4,19.9,19.2,4.8,16.3,6.8,18.8
"Landshut",0.2,6.8,6.2,1.4,13.7,10.7,23.2
"Passau",0.1,7.8,7.3,2.8,13.9,6.9,19.6
